CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Child_Age,Indicator,Value,Denom,coverage
2023-24,E12000001,North East,E06000047,County Durham,5yr,MMR2_5y,5048,5360,94.17910448
2023-24,E12000001,North East,E06000005,Darlington,5yr,MMR2_5y,1049,1194,87.8559464
2023-24,E12000001,North East,E08000037,Gateshead,5yr,MMR2_5y,1819,2096,86.78435115
2023-24,E12000001,North East,E06000001,Hartlepool,5yr,MMR2_5y,970,1088,89.15441176
2023-24,E12000001,North East,E06000002,Middlesbrough,5yr,MMR2_5y,1596,2048,77.9296875
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,MMR2_5y,2813,3301,85.21660103
2023-24,E12000001,North East,E08000022,North Tyneside,5yr,MMR2_5y,2211,2412,91.66666667
2023-24,E12000001,North East,E06000057,Northumberland,5yr,MMR2_5y,2890,3124,92.50960307
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,5yr,MMR2_5y,1258,1412,89.09348442
2023-24,E12000001,North East,E08000023,South Tyneside,5yr,MMR2_5y,1514,1616,93.68811881
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,5yr,MMR2_5y,1976,2203,89.69586927
2023-24,E12000001,North East,E08000024,Sunderland,5yr,MMR2_5y,2620,2882,90.90909091
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,5yr,MMR2_5y,1987,2319,85.68348426
2023-24,E12000002,North West,E06000009,Blackpool,5yr,MMR2_5y,1604,1860,86.23655914
2023-24,E12000002,North West,E08000001,Bolton,5yr,MMR2_5y,3478,4065,85.5596556
2023-24,E12000002,North West,E08000002,Bury,5yr,MMR2_5y,2021,2480,81.49193548
2023-24,E12000002,North West,E06000049,Cheshire East,5yr,MMR2_5y,3939,4349,90.57254541
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,5yr,MMR2_5y,3442,3828,89.91640543
2023-24,E12000002,North West,E10000006,Cumbria,5yr,MMR2_5y,4568,4820,94.77178423
2023-24,E12000002,North West,E06000006,Halton,5yr,MMR2_5y,1226,1414,86.70438472
2023-24,E12000002,North West,E08000011,Knowsley,5yr,MMR2_5y,1589,2073,76.65219489
2023-24,E12000002,North West,E10000017,Lancashire,5yr,MMR2_5y,11511,13220,87.07261725
2023-24,E12000002,North West,E08000012,Liverpool,5yr,MMR2_5y,4797,6534,73.41597796
2023-24,E12000002,North West,E08000003,Manchester,5yr,MMR2_5y,6005,8050,74.59627329
2023-24,E12000002,North West,E08000004,Oldham,5yr,MMR2_5y,2624,3288,79.8053528
2023-24,E12000002,North West,E08000005,Rochdale,5yr,MMR2_5y,2534,3161,80.1645049
2023-24,E12000002,North West,E08000006,Salford,5yr,MMR2_5y,2991,3692,81.01300108
2023-24,E12000002,North West,E08000014,Sefton,5yr,MMR2_5y,2276,2737,83.15674096
2023-24,E12000002,North West,E08000013,St. Helens,5yr,MMR2_5y,1809,2084,86.80422265
2023-24,E12000002,North West,E08000007,Stockport,5yr,MMR2_5y,3337,3693,90.36014081
2023-24,E12000002,North West,E08000008,Tameside,5yr,MMR2_5y,2242,2682,83.59433259
2023-24,E12000002,North West,E08000009,Trafford,5yr,MMR2_5y,2568,2860,89.79020979
2023-24,E12000002,North West,E06000007,Warrington,5yr,MMR2_5y,2188,2420,90.41322314
2023-24,E12000002,North West,E08000010,Wigan,5yr,MMR2_5y,3241,3675,88.19047619
2023-24,E12000002,North West,E08000015,Wirral,5yr,MMR2_5y,3115,3515,88.62019915
2023-24,E12000003,Yorkshire and The Humber,E08000016,Barnsley,5yr,MMR2_5y,2662,2902,91.72984149
2023-24,E12000003,Yorkshire and The Humber,E08000032,Bradford,5yr,MMR2_5y,6191,7690,80.50715215
2023-24,E12000003,Yorkshire and The Humber,E08000033,Calderdale,5yr,MMR2_5y,2061,2386,86.37887678
2023-24,E12000003,Yorkshire and The Humber,E08000017,Doncaster,5yr,MMR2_5y,3051,3717,82.08232446
2023-24,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,5yr,MMR2_5y,2839,3005,94.47587354
2023-24,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",5yr,MMR2_5y,2906,3483,83.43382142
2023-24,E12000003,Yorkshire and The Humber,E08000034,Kirklees,5yr,MMR2_5y,4605,5157,89.29610239
2023-24,E12000003,Yorkshire and The Humber,E08000035,Leeds,5yr,MMR2_5y,8282,10183,81.33163115
2023-24,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,5yr,MMR2_5y,1681,1835,91.60762943
2023-24,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,5yr,MMR2_5y,1565,1877,83.37773042
2023-24,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,5yr,MMR2_5y,5006,5641,88.74313065
2023-24,E12000003,Yorkshire and The Humber,E08000018,Rotherham,5yr,MMR2_5y,2694,3043,88.53105488
2023-24,E12000003,Yorkshire and The Humber,E08000019,Sheffield,5yr,MMR2_5y,5635,6536,86.21481028
2023-24,E12000003,Yorkshire and The Humber,E08000036,Wakefield,5yr,MMR2_5y,3954,4450,88.85393258
2023-24,E12000003,Yorkshire and The Humber,E06000014,York,5yr,MMR2_5y,1704,1970,86.49746193
2023-24,E12000004,East Midlands,E06000015,Derby,5yr,MMR2_5y,3094,3778,81.89518264
2023-24,E12000004,East Midlands,E10000007,Derbyshire,5yr,MMR2_5y,7294,7909,92.22404855
2023-24,E12000004,East Midlands,E06000016,Leicester,5yr,MMR2_5y,3909,4923,79.40280317
2023-24,E12000004,East Midlands,E10000018,Leicestershire and Rutland,5yr,MMR2_5y,7430,8103,91.69443416
2023-24,E12000004,East Midlands,E10000019,Lincolnshire,5yr,MMR2_5y,6412,7655,83.7622469
2023-24,E12000004,East Midlands,E06000061,North Northamptonshire,5yr,MMR2_5y,3848,4440,86.66666667
2023-24,E12000004,East Midlands,E06000018,Nottingham,5yr,MMR2_5y,2986,4036,73.98414272
2023-24,E12000004,East Midlands,E10000024,Nottinghamshire,5yr,MMR2_5y,7499,8756,85.64412974
2023-24,E12000004,East Midlands,E06000062,West Northamptonshire,5yr,MMR2_5y,4181,5093,82.09306892
2023-24,E12000005,West Midlands,E08000025,Birmingham,5yr,MMR2_5y,12610,16866,74.76580102
2023-24,E12000005,West Midlands,E08000026,Coventry,5yr,MMR2_5y,4118,5160,79.80620155
2023-24,E12000005,West Midlands,E08000027,Dudley,5yr,MMR2_5y,3372,3836,87.90406674
2023-24,E12000005,West Midlands,E06000019,"Herefordshire, County of",5yr,MMR2_5y,1600,1785,89.63585434
2023-24,E12000005,West Midlands,E08000028,Sandwell,5yr,MMR2_5y,3812,4801,79.40012497
2023-24,E12000005,West Midlands,E06000051,Shropshire,5yr,MMR2_5y,2681,3001,89.3368877
2023-24,E12000005,West Midlands,E08000029,Solihull,5yr,MMR2_5y,2167,2521,85.95795319
2023-24,E12000005,West Midlands,E10000028,Staffordshire,5yr,MMR2_5y,8081,9189,87.94210469
2023-24,E12000005,West Midlands,E06000021,Stoke-on-Trent,5yr,MMR2_5y,3037,3603,84.29086872
2023-24,E12000005,West Midlands,E06000020,Telford and Wrekin,5yr,MMR2_5y,2014,2356,85.48387097
2023-24,E12000005,West Midlands,E08000030,Walsall,5yr,MMR2_5y,3333,4006,83.2001997
2023-24,E12000005,West Midlands,E10000031,Warwickshire,5yr,MMR2_5y,5973,6775,88.16236162
