Year,OrgCode,OrgName,OrgType,VacCode,Value
2009-10,E92000001,England,Country,12m_Eligible_Pop,664779.0
2009-10,N92000002,Northern Ireland,Country,12m_Eligible_Pop,24955.0
2009-10,S92000003,Scotland,Country,12m_Eligible_Pop,59295.0
2009-10,W92000004,Wales,Country,12m_Eligible_Pop,34694.0
2009-10,E12000001,North East,Region,12m_Eligible_Pop,29776.0
2009-10,E12000002,North West,Region,12m_Eligible_Pop,86196.0
2009-10,E12000003,Yorkshire & the Humber,Region,12m_Eligible_Pop,65673.0
2009-10,E12000004,East Midlands,Region,12m_Eligible_Pop,53523.0
2009-10,E12000005,West Midlands,Region,12m_Eligible_Pop,69443.0
2009-10,E12000006,East of England,Region,12m_Eligible_Pop,71558.0
2009-10,E12000007,London,Region,12m_Eligible_Pop,126781.0
2009-10,E12000008,South East,Region,12m_Eligible_Pop,104123.0
2009-10,E12000009,South West,Region,12m_Eligible_Pop,57706.0
2009-10,K02000001,United Kingdom,UK,12m_Eligible_Pop,783723.0
2009-10,E92000001,England,Country,24m_Eligible_Pop,662217.0
2009-10,N92000002,Northern Ireland,Country,24m_Eligible_Pop,24679.0
2009-10,S92000003,Scotland,Country,24m_Eligible_Pop,58763.0
2009-10,W92000004,Wales,Country,24m_Eligible_Pop,34580.0
2009-10,E12000001,North East,Region,24m_Eligible_Pop,30082.0
2009-10,E12000002,North West,Region,24m_Eligible_Pop,86666.0
2009-10,E12000003,Yorkshire & the Humber,Region,24m_Eligible_Pop,65042.0
2009-10,E12000004,East Midlands,Region,24m_Eligible_Pop,53732.0
2009-10,E12000005,West Midlands,Region,24m_Eligible_Pop,68706.0
2009-10,E12000006,East of England,Region,24m_Eligible_Pop,71331.0
2009-10,E12000007,London,Region,24m_Eligible_Pop,123952.0
2009-10,E12000008,South East,Region,24m_Eligible_Pop,104655.0
2009-10,E12000009,South West,Region,24m_Eligible_Pop,58051.0
2009-10,K02000001,United Kingdom,UK,24m_Eligible_Pop,780239.0
2009-10,E92000001,England,Country,5y_Eligible_Pop,608148.0
2009-10,N92000002,Northern Ireland,Country,5y_Eligible_Pop,22787.0
2009-10,S92000003,Scotland,Country,5y_Eligible_Pop,55054.0
2009-10,W92000004,Wales,Country,5y_Eligible_Pop,32467.0
2009-10,E12000001,North East,Region,5y_Eligible_Pop,28006.0
2009-10,E12000002,North West,Region,5y_Eligible_Pop,80671.0
2009-10,E12000003,Yorkshire & the Humber,Region,5y_Eligible_Pop,60955.0
2009-10,E12000004,East Midlands,Region,5y_Eligible_Pop,49345.0
2009-10,E12000005,West Midlands,Region,5y_Eligible_Pop,62663.0
2009-10,E12000006,East of England,Region,5y_Eligible_Pop,67165.0
2009-10,E12000007,London,Region,5y_Eligible_Pop,107709.0
2009-10,E12000008,South East,Region,5y_Eligible_Pop,97834.0
2009-10,E12000009,South West,Region,5y_Eligible_Pop,53800.0
2009-10,K02000001,United Kingdom,UK,5y_Eligible_Pop,718456.0
2009-10,E92000001,England,Country,DTaP_IPV_5y,84.79645491139745
2009-10,N92000002,Northern Ireland,Country,DTaP_IPV_5y,91.92960898758064
2009-10,S92000003,Scotland,Country,DTaP_IPV_5y,91.90976
2009-10,W92000004,Wales,Country,DTaP_IPV_5y,90.08839
2009-10,E12000001,North East,Region,DTaP_IPV_5y,91.20545597371992
2009-10,E12000002,North West,Region,DTaP_IPV_5y,87.8890803386595
2009-10,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_5y,85.92240177179887
2009-10,E12000004,East Midlands,Region,DTaP_IPV_5y,86.81933326578174
2009-10,E12000005,West Midlands,Region,DTaP_IPV_5y,90.12016660549287
2009-10,E12000006,East of England,Region,DTaP_IPV_5y,86.07161468026501
2009-10,E12000007,London,Region,DTaP_IPV_5y,71.76744747421293
2009-10,E12000008,South East,Region,DTaP_IPV_5y,86.71627450579552
2009-10,E12000009,South West,Region,DTaP_IPV_5y,88.68587360594796
2009-10,K02000001,United Kingdom,UK,DTaP_IPV_5y,85.82140033627668
2009-10,E92000001,England,Country,DTaP_IPV_Hib_12m,93.61114578836779
2009-10,N92000002,Northern Ireland,Country,DTaP_IPV_Hib_12m,97.77198958124625
2009-10,S92000003,Scotland,Country,DTaP_IPV_Hib_12m,97.40956
2009-10,W92000004,Wales,Country,DTaP_IPV_Hib_12m,96.21548
2009-10,E12000001,North East,Region,DTaP_IPV_Hib_12m,95.68108543793659
2009-10,E12000002,North West,Region,DTaP_IPV_Hib_12m,94.69928999025477
2009-10,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_Hib_12m,94.787812342972
2009-10,E12000004,East Midlands,Region,DTaP_IPV_Hib_12m,94.95730807316481
2009-10,E12000005,West Midlands,Region,DTaP_IPV_Hib_12m,94.99877597454027
2009-10,E12000006,East of England,Region,DTaP_IPV_Hib_12m,94.77626540708236
2009-10,E12000007,London,Region,DTaP_IPV_Hib_12m,88.69467822465512
2009-10,E12000008,South East,Region,DTaP_IPV_Hib_12m,94.11753407028229
2009-10,E12000009,South West,Region,DTaP_IPV_Hib_12m,95.1356877967629
2009-10,K02000001,United Kingdom,UK,DTaP_IPV_Hib_12m,94.14869794557515
2009-10,E92000001,England,Country,DTaP_IPV_Hib_24m,95.29378548986392
2009-10,N92000002,Northern Ireland,Country,DTaP_IPV_Hib_24m,98.52911382146765
2009-10,S92000003,Scotland,Country,DTaP_IPV_Hib_24m,98.37653
2009-10,W92000004,Wales,Country,DTaP_IPV_Hib_24m,97.47253
2009-10,E12000001,North East,Region,DTaP_IPV_Hib_24m,96.90180174190546
