CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Child_Age,Indicator,Value
2023-24,E12000001,North East,E06000047,County Durham,12m,12m_Eligible_Pop,4645.0
2023-24,E12000001,North East,E06000047,County Durham,12m,DTaP_IPV_Hib_HepB_12m,4480.0
2023-24,E12000001,North East,E06000047,County Durham,12m,MenB_12m,4463.0
2023-24,E12000001,North East,E06000047,County Durham,12m,PCV_12m,4526.0
2023-24,E12000001,North East,E06000047,County Durham,12m,Rota_12m,4396.0
2023-24,E12000001,North East,E06000047,County Durham,24m,24m_Eligible_Pop,4981.0
2023-24,E12000001,North East,E06000047,County Durham,24m,DTaP_IPV_Hib_HepB_24m,4854.0
2023-24,E12000001,North East,E06000047,County Durham,24m,Hib_MenC_24m,4775.0
2023-24,E12000001,North East,E06000047,County Durham,24m,MMR_24m,4767.0
2023-24,E12000001,North East,E06000047,County Durham,24m,MenB_booster_24m,4753.0
2023-24,E12000001,North East,E06000047,County Durham,24m,PCV_24m,4755.0
2023-24,E12000001,North East,E06000047,County Durham,5yr,5y_Eligible_Pop,5360.0
2023-24,E12000001,North East,E06000047,County Durham,5yr,DTaP_IPV_5y,5023.0
2023-24,E12000001,North East,E06000047,County Durham,5yr,DTaP_IPV_Hib_HepB_5y,5220.0
2023-24,E12000001,North East,E06000047,County Durham,5yr,Hib_MenC_5y,5092.0
2023-24,E12000001,North East,E06000047,County Durham,5yr,MMR1_5y,5201.0
2023-24,E12000001,North East,E06000047,County Durham,5yr,MMR2_5y,5048.0
2023-24,E12000001,North East,E06000005,Darlington,12m,12m_Eligible_Pop,1010.0
2023-24,E12000001,North East,E06000005,Darlington,12m,DTaP_IPV_Hib_HepB_12m,956.0
2023-24,E12000001,North East,E06000005,Darlington,12m,MenB_12m,942.0
2023-24,E12000001,North East,E06000005,Darlington,12m,PCV_12m,965.0
2023-24,E12000001,North East,E06000005,Darlington,12m,Rota_12m,932.0
2023-24,E12000001,North East,E06000005,Darlington,24m,24m_Eligible_Pop,1100.0
2023-24,E12000001,North East,E06000005,Darlington,24m,DTaP_IPV_Hib_HepB_24m,1042.0
2023-24,E12000001,North East,E06000005,Darlington,24m,Hib_MenC_24m,1016.0
2023-24,E12000001,North East,E06000005,Darlington,24m,MMR_24m,1011.0
2023-24,E12000001,North East,E06000005,Darlington,24m,MenB_booster_24m,1009.0
2023-24,E12000001,North East,E06000005,Darlington,24m,PCV_24m,1011.0
