CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,BCG_12m_Population,BCG_3m_Population,BCG_12m_Vaccinated,BCG_3m_Vaccinated,BCG_12m_Coverage,BCG_3m_Coverage
2023-24,E12000001,North East,E06000047,County Durham,206,270,152,141,73.78640777,52.22222222
2023-24,E12000001,North East,E06000005,Darlington,93,130,60,67,64.51612903,51.53846154
2023-24,E12000001,North East,E08000037,Gateshead,249,198,186,77,74.69879518,38.88888889
2023-24,E12000001,North East,E06000001,Hartlepool,67,60,53,18,79.10447761,30
2023-24,E12000001,North East,E06000002,Middlesbrough,516,642,389,35,75.3875969,5.451713396
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,790,889,648,134,82.02531646,15.07311586
2023-24,E12000001,North East,E08000022,North Tyneside,172,191,114,85,66.27906977,44.5026178
2023-24,E12000001,North East,E06000057,Northumberland,104,115,78,62,75,53.91304348
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,50,75,37,6,74,8
2023-24,E12000001,North East,E08000023,South Tyneside,147,136,123,113,83.67346939,83.08823529
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,280,324,224,113,80,34.87654321
2023-24,E12000001,North East,E08000024,Sunderland,332,330,301,305,90.6626506,92.42424242
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,701,839,576,252,82.16833096,30.03575685
2023-24,E12000002,North West,E06000009,Blackpool,194,217,160,85,82.4742268,39.17050691
2023-24,E12000002,North West,E08000001,Bolton,1598,1611,1087,958,68.02252816,59.46617008
2023-24,E12000002,North West,E08000002,Bury,581,593,413,428,71.08433735,72.17537943
2023-24,E12000002,North West,E06000049,Cheshire East,468,489,385,188,82.26495726,38.44580777
2023-24,E12000002,North West,E06000050,Cheshire West and Chester,311,376,274,234,88.10289389,62.23404255
2023-24,E12000002,North West,E10000006,Cumbria,253,257,175,174,69.16996047,67.70428016
2023-24,E12000002,North West,E06000006,Halton,111,111,88,80,79.27927928,72.07207207
2023-24,E12000002,North West,E08000011,Knowsley,158,182,134,144,84.81012658,79.12087912
2023-24,E12000002,North West,E10000017,Lancashire,1889,2046,1511,862,79.98941239,42.13098729
2023-24,E12000002,North West,E08000012,Liverpool,1153,1306,981,921,85.08239376,70.52067381
2023-24,E12000002,North West,E08000003,Manchester,3460,3520,2767,2795,79.97109827,79.40340909
2023-24,E12000002,North West,E08000004,Oldham,1317,1439,1166,1258,88.53454822,87.42182071
2023-24,E12000002,North West,E08000005,Rochdale,987,1060,781,899,79.12867275,84.81132075
2023-24,E12000002,North West,E08000006,Salford,883,966,703,726,79.61494904,75.1552795
2023-24,E12000002,North West,E08000014,Sefton,207,227,169,116,81.64251208,51.10132159
2023-24,E12000002,North West,E08000013,St. Helens,185,195,166,166,89.72972973,85.12820513
2023-24,E12000002,North West,E08000007,Stockport,538,620,413,459,76.76579926,74.03225806
2023-24,E12000002,North West,E08000008,Tameside,535,627,447,497,83.55140187,79.26634769
2023-24,E12000002,North West,E08000009,Trafford,561,557,439,448,78.25311943,80.43087971
2023-24,E12000002,North West,E06000007,Warrington,267,301,237,254,88.76404494,84.38538206
2023-24,E12000002,North West,E08000010,Wigan,324,136,248,76,76.54320988,55.88235294
2023-24,E12000002,North West,E08000015,Wirral,253,266,234,225,92.49011858,84.58646617
2023-24,E12000003,Yorkshire and The Humber,E08000016,Barnsley,172,211,122,165,70.93023256,78.19905213
2023-24,E12000003,Yorkshire and The Humber,E08000032,Bradford,3329,3608,2784,3005,83.62871733,83.28713969
2023-24,E12000003,Yorkshire and The Humber,E08000033,Calderdale,399,452,302,322,75.68922306,71.23893805
2023-24,E12000003,Yorkshire and The Humber,E08000017,Doncaster,87,209,65,156,74.71264368,74.64114833
2023-24,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,139,131,119,102,85.61151079,77.86259542
2023-24,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",507,612,415,500,81.85404339,81.69934641
